d--------x student/student   0 unit1exercise1/entrauer/
d------rw- student/student   0 unit1exercise1/zerwitzst/
d---rw-rw- student/student   0 unit1exercise1/aufgewitzs/aussinnen/
d---rwx-wx student/student   0 unit1exercise1/aufgewitzs/aussinnen/auskatzest/
d-w--w---x student/student   0 unit1exercise1/aufgegehkeit/ausgehaltt/ausgesetzst/
d-w--wx--x student/student   0 unit1exercise1/gerenntest/austrautest/aufgekatzeer/
d-w-r--r-x student/student   0 unit1exercise1/gerenntest/
d-wx-----x student/student   0 unit1exercise1/ausgerenntete/
d-wx---rw- student/student   0 unit1exercise1/ausgesprachkeit/angekraukeit/
d-wx-w-r-x student/student   0 unit1exercise1/aufgegehkeit/
d-wxr-x--- student/student   0 unit1exercise1/aufgewitzs/
dr--rw---- student/student   0 unit1exercise1/aufgegehkeit/ausgehaltt/
dr-xr-xrw- student/student   0 unit1exercise1/ausgesprachkeit/
dr-xrw---- student/student   0 unit1exercise1/ausgesprachkeit/angekraukeit/aufrennte/
dr-xrwx-wx student/student   0 unit1exercise1/aufgewitzs/aussinnen/zerhalttest/
drw----r-x student/student   0 unit1exercise1/gerenntest/austrautest/
drw-rw-r-x student/student   0 unit1exercise1/anstehtete/
drw-rwxr-x student/student   0 unit1exercise1/ausgesprachkeit/angekraukeit/enwitzse/
drwx-wxr-- student/student   0 unit1exercise1/aufgewitzs/ausgeschmeckte/
drwxrw--wx student/student   0 unit1exercise1/aufgegehkeit/ausgehaltt/verfahrte/
drwxrwxr-x student/student   0 unit1exercise1/
