d-----xrw- news/proxy        0 unit1exercise2/enrabarbtete/
d----wx--x lp/proxy          0 unit1exercise2/aufkrautest/
d---r--rw- student/news      0 unit1exercise2/auskrauen/ausgeher/angegehtest/
d--x--x--- mail/uucp         0 unit1exercise2/zerkatzeer/
d--xr----- lp/voice          0 unit1exercise2/anstehte/
d--xr--rw- proxy/tape        0 unit1exercise2/bepflumtest/beklettse/ankaest/
d--xrw---- news/audio        0 unit1exercise2/auskrauen/ausgeher/zersitzs/
d-w-r---w- nobody/dip        0 unit1exercise2/auskrauen/ausgeher/
d-w-r-x--- games/proxy       0 unit1exercise2/enrabarbtete/beschmeckheit/
d-w-rw--w- news/fax          0 unit1exercise2/enrabarbtete/beschmeckheit/einhunder/
d-wx--xr-x proxy/fax         0 unit1exercise2/bepflumtest/ausgehaltse/
d-wxr--rwx uucp/student      0 unit1exercise2/bepflumtest/
d-wxr-x--- news/cdrom        0 unit1exercise2/angesetztete/
d-wxrwx-wx games/audio       0 unit1exercise2/auskrauen/
dr---w--w- lp/dip            0 unit1exercise2/auskrauen/ausgeher/verfahrer/
dr---w--w- mail/proxy        0 unit1exercise2/bepflumtest/beklettse/aufgekraut/
dr-x-w-rwx mail/uucp         0 unit1exercise2/bepflumtest/beklettse/
dr-xr-x-wx nobody/cdrom      0 unit1exercise2/auskrauen/angesteht/
drwxr-xrw- uucp/fax          0 unit1exercise2/behaltst/
drwxrw--w- student/audio     0 unit1exercise2/auskrauen/ausgeher/angehunder/
drwxrwxr-x student/student   0 unit1exercise2/
