d----w-rw- news/voice        0 unit1exercise3/gefahrte/
d---r-xrw- uucp/student      0 unit1exercise3/gefahrte/ankrause/ensinnte/
d--S---r-x proxy/voice       0 unit1exercise3/angesitzkeit/
d--S---rw- proxy/mail        0 unit1exercise3/einrauchse/bestehte/
d--s-w---x uucp/uucp         0 unit1exercise3/aufgetritter/auskrautest/getritts/
d--xr---w- nobody/student    0 unit1exercise3/gefahrte/auskaesung/
d-w---x-wx student/cdrom     0 unit1exercise3/einrauchse/bestehte/gepflumse/
d-wS-wxrwx mail/fax          0 unit1exercise3/gefahrte/ankrause/ausgesprachung/
d-ws-w-rw- uucp/voice        0 unit1exercise3/angeraucher/
d-wx----w- student/news      0 unit1exercise3/gefahrte/auskaesung/beschmecktest/
d-wx-w-r-x lp/audio          0 unit1exercise3/verhundtete/
dr-S-w--w- nobody/uucp       0 unit1exercise3/aufgetritter/
dr-S-w--w- nobody/uucp       0 unit1exercise3/einrauchse/
dr-S-wxrw- proxy/cdrom       0 unit1exercise3/gefahrte/ankrause/
dr-Sr-x--- lp/news           0 unit1exercise3/gesetzkeit/getritter/aufstehtest/
dr-srw-rw- news/fax          0 unit1exercise3/aufgetritter/auskrautest/
dr-x-w-rw- news/mail         0 unit1exercise3/gesetzkeit/getritter/aufgefahrheit/
drwSr----- proxy/mail        0 unit1exercise3/gesetzkeit/getritter/
drwx----w- lp/student        0 unit1exercise3/gesetzkeit/
drwx-w-r-x nobody/tape       0 unit1exercise3/ausfahrst/
drwxrwxr-x student/student   0 unit1exercise3/
