d-----Srw- student/tape      0 unit1exercise4/aufgerabarbkeit/
d---r---w- student/audio     0 unit1exercise4/aufwarfung/eingehen/angefahren/
d---r-s--- student/fax       0 unit1exercise4/bespracht/
d---rwS--x student/dip       0 unit1exercise4/ausgestehkeit/
d--xr----x student/dip       0 unit1exercise4/anhunden/anschmecktete/
d-w---xrwx student/news      0 unit1exercise4/anhunden/
d-w--wxrw- student/voice     0 unit1exercise4/bespracht/aufsprachte/
d-w-rwS--- student/news      0 unit1exercise4/bespracht/aufsprachte/angehundheit/
d-wx--xrw- student/mail      0 unit1exercise4/austrittung/ausschmecker/eintrauen/
d-wxr--rw- student/audio     0 unit1exercise4/aufwarfung/eingehen/
d-wxr-S-w- student/cdrom     0 unit1exercise4/aufwarfung/
dr--r-Srw- student/voice     0 unit1exercise4/bespracht/auslaufte/aufgepflumung/
dr-xr-srw- student/proxy     0 unit1exercise4/aufkaestete/
dr-xrws--- student/floppy    0 unit1exercise4/austrittung/ausschmecker/
drw-rwx--- student/mail      0 unit1exercise4/bespracht/auslaufte/aufgesitzung/
drw-rwxr-x student/dip       0 unit1exercise4/anhunden/anschmecktete/ensinnheit/
drwx-w-r-x student/floppy    0 unit1exercise4/besteht/
drwxr-x--- student/fax       0 unit1exercise4/austrittung/
drwxr-x-w- student/tape      0 unit1exercise4/aufwarfung/eingehen/angepflumer/
drwxrw--w- student/uucp      0 unit1exercise4/bespracht/auslaufte/
drwxrwxr-x student/student   0 unit1exercise4/
